Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
Targus,THD069US,Consumable,Accessory,"Safeport Rotating Hand Strap for Rugged Max Pro, Black",
Targus,BUS0067,Consumable,Mouse Keyboard Combo,Targus Corporate HID Keyboard Mouse Bundle - Keyboard - USB,Targus Corporate HID Keyboard Mouse Bundle - Keyboard - USB
Targus,THD100US,Consumable,Accessory,"Safeport Rugged Max Pro Case for iPad Air 5th Generation 9.7"", Black",
Targus,THZ536US,Consumable,Accessory,"Custom Fit 360-degrees 9.7"" iPad Air 2, Black",
Targus,THZ850GL,Consumable,Carrying Case,"Targus Click-In - Flip cover for tablet - polyurethane, thermoplastic polyurethane (TPU) - black - 10.2"" - 10.5"" - for Apple 10.2-inch iPad (7th generation, 8th generation); 10.5-inch iPad Air (3rd generation); 10.5-inch iPad Pro",Click In Case iPad 7 10.2 Blk
Targus,THZ85213GL,Consumable,Carrying Case,"Targus Pro-Tek - Flip cover for tablet - soft thermoplastic polyurethane (TPU) - blue - 10.2"" - 10.5"" - for Apple 10.2-inch iPad; 10.5-inch iPad Air (3rd generation); 10.5-inch iPad Pro",Pro Tek Antimicro Case iPad 9
TechSmith,0473169,,,Snagit,
TDK,27637,Consumable,Tape,LTO Ultrium Universal Cleaning Cartridge,
TechSmith,11262890,,,Snagit,
TechSmith,0719724,,,Snagit,
TechSmith,11148943,,,Snagit,
TechSmith,8346555,,,Snagit,
TechSmith,9236325,,,Snagit,
TechSmith,CM01C-U-23,,,Camtasia,
TechSmith,CM01C-N-21,,,Camtasia,
TechSmith,N152290,,,Snagit,
TechSmith,NA,,,Snagit,
TechSmith,SN01C-N-23,,,Snagit,
TechSmith,SIC11010S,,,Snagit,
TechSmith,SN01C-N-24,,,Snagit,
TechSmith,SN24C-R-1,Support,Support,TechSmith Maintenance Agreement Program - technical support (renewal),
TechSmith,SN09C-U-24,,,Snagit,
TechSmith,SN24C-U-23,,,Snagit,
TechSmith,SNAG01,,,Snagit,
TechSmith,SNAG01/EN,,,Snagit,
TechSmith,SNAG01-10,,,Snagit,
TechSmith,SNAG01-10-E,,,Snagit,
TechSmith,SNAG01-10-E-ENG,,,Snagit,
TechSmith,SNAG01-11-E,,,Snagit,
TechSmith,SNAG01-11,,,Snagit,
TechSmith,SNAG01-12-E-DISCO,,,Snagit,
TechSmith,SNAG01-13-E,,,Snagit,
TechSmith,SNAG01-18,,,Snagit,
TechSmith,SNAG01-19,,,Snagit,
TechSmith,SNAG01-18-E,,,Snagit,
TechSmith,SNAG01-9-E,,,Snagit,
TechSmith,SNAG01-9,,,Snagit,
TechSmith,SNAG01-E-8.2,,,Snagit,
TechSmith,SNAG01-E-8.2-EN,,,Snagit,
TechSmith,SNAG01-E-9,,,Snagit,
TechSmith,SNAG01U-13-E,,,Snagit,
TechSmith,SNAG09-10-E,,,Snagit,
TechSmith,SNAG09-11-E,,,Snagit,
TechSmith,SNAG24-10,,,Snagit,
TechSmith,SNAG09-E-9,,,Snagit,
TechSmith,SNAG24-11,,,Snagit,
TechSmith,SNAG24-11-E,,,Snagit,
TechSmith,SNAG24-10-E,,,Snagit,
TechSmith,SNAG24-9,,,Snagit,
TechSmith,SNAG24-9-E,,,Snagit,
TechSmith,SNAG24-E-8.2-EN,,,Snagit,
TechSmith,SNAG8FR01,,,Snagit,
TechSmith,SNAG499-11-E,,,Snagit,
TechSmith,SNAG24U-10-E,,,Snagit,
TechSmith,SNAG99-10-E,,,Snagit,
TechSmith,SNAG99-12-E,,,Snagit,
TechSmith,SNAG99-10-E-ENG,,,Snagit,
TechSmith,SNAG99-13-E,,,Snagit,
TechSmith,SNAG999-11-E,,,Snagit,
TechSmith,SNAG999-E-8.2,,,Snagit,
TechSmith,SNAG99-E,,,Snagit,
TechSmith,SNAG999U-11-E,,,Snagit,
TechSmith,SNAG99-E-8.2,,,Snagit,
TechSmith,SNAG99-E-9,,,Snagit,
TechSmith,SNAG99U-13-E,,,Snagit,
TechSmith,SNAG9FR99,,,Snagit,
TechSmith,SNAG9FR04,,,Snagit,
TechSmith,SNAG9FR09,,,Snagit,
TechSmith,SNAG9US01,,,Snagit,
TechSmith,SNT00346,,,Snagit,
TechSmith,SNAG9US09,,,Snagit,
TechSmith,T69690A,,,Snagit,
TechSmith,T55278A,,,Snagit,
TechSmith,T69691A,,,Snagit,
TEKLYNX,LV8NET05SSMA,,,LABELVIEW Gold,
TEKLYNX,LV10NETAF,,,LABELVIEW Gold,
TEKLYNX,LV8GOLDUSMA,,,LABELVIEW Gold,
TEKLYNX,LVPRO11YVOL,,,,
Tenable,SERV-NES,,,Nessus Professional,
Test Quest,TQCDMNTSUAR,,,Test Quest Pro,
Tenable,SERV-NES-R,,,Nessus Professional,
The Joy Factory,CWA632MP,Consumable,Carrying Case,"The Joy Factory aXtion Bold MP-Series CWA632MP - Protective case for tablet - rugged - silicone - black - 10.2"" - for Apple 10.2-inch iPad (7th generation)",AXTION BOLD MP BLACK IPAD 10.2
Thermaltake Technology,CL-N014-PL20SW-A,Consumable,Accessory,Thermaltake Massive 20 RGB - notebook fan,Thermaltake Massive 20 RGB - notebook fan
Think-Cell,TC-1U-12MO,,,,
Thrustmaster,4780686,Consumable,Accessory,"Hercules XPS 2.0 10 USB Speakers, Arc White",
Topaz Systems,T-LBK462-BSB-R,Consumable,Display,Topaz SignatureGem LCD1x5 T-LBK462-BSB-R - Signature terminal w/ LCD display - 4.4 x 1.3 in - electromagnetic - wired - serial,TOPAZ SIGNATUREGEM LCD 1X5 USB BACKLIT INCLUDES SIGPLUS SOFTWARE
Topaz Systems,T-LBK462-HSB-R,Computer,Thin Client,Topaz SignatureGem T-LBK462-HSB Wired Signature Terminal,Topaz SignatureGem T-LBK462-HSB Wired Signature Terminal
Toshiba,HDTC705XK3A1,Consumable,Hard Drive,500GB Canvio Connect USB 3.0 Portable Hard Drive - Black,
Toshiba,PT474U-02H00C,Computer,Laptop,Toshiba TECRA X40-D I7-7600U 256GB (4562078),TECRA X40-D
Toshiba,PA3715U-1ACA,Consumable,Power Adapter,Global 75 Watt AC Adapter Energy Star Compliant,
Total Micro Technologies,0A36317-TM,Consumable,Battery,TOTAL MICRO BATTERY LENOVO TP 6CELL (3274734),LENOVO TP 6CELL
Total Micro Technologies,451-BBSD-TM,Consumable,Battery,,
Total Micro Technologies,A6996789-TM,Consumable,Memory,16GB PC3-12800 240-pin DDR3 SDRAM RDIMM for PowerEdge R710,
Total Micro Technologies,451-BBSY-TM,Consumable,Battery,,
Total Micro Technologies,PA5043U-1BRS-TM,Consumable,Battery,"Total Micro Battery for Toshiba Satellite R845, Portege R930, R935 - 6-Cell","Toshiba Satellite R845, Portege R930, R935"
Total Micro Technologies,Q5N-00001-TM,Consumable,Power Adapter,"Total Micro AC Adapter, Microsoft Surface Book, Surface Pro 4 - 65W","Total Micro AC Adapter, Microsoft Surface Book, Surface Pro 4 - 65W"
Total Micro Technologies,NP7-12-F1-TM,Consumable,Battery,,
Total Micro Technologies,T54FJ-TM,Consumable,Battery,,
TP-Link,TG-3468,Consumable,Network Card,TP-LINK TG-3468 -10 100 1000Mbps Gigabit Ethernet PCI Express Network Card,TP-LINK TG-3468 -10 100 1000Mbps Gigabit Ethernet PCI Express Network Card
Transcend Information,TS128GHSD370,Consumable,Hard Drive,128GB HSD370 SATA 6Gb/s Half Slim Internal Solid State Drive,
TP-Link,TL-POE160S,Consumable,Accessory,TP-Link TL-POE160S - PoE splitter - AC 100-240 V - 30 Watt - output connectors: 1,TP-Link TL-POE160S
Transcend Information,TS16GJF790K,Consumable,Flash Drive,,
Transcend Information,TS2GSDC,Consumable,Memory,Transcend 2 GB SD Flash Memory Card,Transcend 2 GB SD Flash Memory Card
